m_id,prime,C1,C2,C3,C4,C5,C6,Valence,Arousal,like,u_id
55,none,2,1,0,1,1,0,1,1,0,6
5,popular,-1,2,-1,-1,1,2,2,-2,1,6
50,none,1,1,1,1,0,0,0,1,1,6
18,popular,1,0,1,0,-1,0,-1,1,0,6
6,none,0,0,1,1,-1,-1,-1,0,0,6
100,popular,1,0,0,0,0,0,0,0,0,6
49,va,2,1,0,0,0,0,1,1,0,6
100,va,2,2,-2,2,1,0,1,1,2,9
41,lyrics,0,-1,-1,1,-2,-1,-1,-1,-1,9
13,lyrics,-1,1,-1,-1,-1,-1,1,-1,0,9
93,popular,1,2,-1,1,1,1,1,1,1,9
36,popular,-1,-2,2,-1,0,0,-2,-2,-2,10
11,none,-2,1,1,-1,1,1,-1,0,-1,10
52,va,2,1,1,1,0,-1,-1,1,1,10
56,popular,2,0,1,2,0,-1,-1,1,1,10
12,popular,1,1,0,0,-1,-1,-1,1,1,9
36,none,-2,-1,1,-2,-1,-1,-2,-1,-2,9
53,popular,0,0,0,1,0,0,0,1,-1,9
63,lyrics,1,1,1,1,1,1,0,0,2,9
96,va,-1,1,-1,-2,2,1,0,0,0,9
18,lyrics,1,1,1,2,1,1,1,1,2,11
89,popular,2,2,-1,1,1,2,2,1,2,11
61,lyrics,1,1,1,-1,-1,1,1,-1,1,9
51,lyrics,0,-1,1,-1,0,-1,-1,-1,0,11
10,va,1,1,-1,0,1,0,1,1,1,9
73,popular,1,1,-1,1,0,0,0,1,1,11
78,popular,1,-1,1,1,-1,-1,-1,-1,-1,9
47,lyrics,1,1,0,0,1,2,1,0,1,11
39,lyrics,1,1,-1,1,1,2,1,1,2,9
81,popular,0,0,1,1,-1,-2,0,0,0,11
47,lyrics,0,1,1,-1,1,1,0,-1,0,9
35,va,1,0,1,2,-2,-2,0,2,1,11
3,va,1,1,-1,0,0,1,1,0,1,9
12,popular,2,2,1,2,-2,0,1,2,2,11
11,va,-1,-1,1,-1,-1,-1,-1,-1,-1,9
94,va,0,1,1,1,1,1,1,1,0,11
67,lyrics,0,-1,2,1,-1,-1,-1,0,-1,9
88,none,-1,1,1,-2,0,0,0,-2,0,11
57,lyrics,-1,-1,-1,1,1,-1,-1,1,0,9
4,lyrics,0,0,1,0,0,1,0,0,1,11
71,va,2,2,-2,1,1,2,2,1,2,9
84,va,1,1,1,1,-1,1,1,1,1,11
7,lyrics,1,0,-1,2,-1,-1,-1,1,1,9
33,none,1,1,0,0,1,1,1,0,0,11
17,lyrics,1,-1,1,1,1,0,-1,-1,1,11
20,popular,-2,-1,1,-2,0,0,-1,-1,0,11
87,lyrics,1,1,1,1,2,2,1,1,1,11
63,lyrics,1,1,1,1,-1,0,1,1,1,11
59,none,1,2,1,-1,0,1,1,-1,2,4
90,lyrics,1,-1,-1,1,1,0,0,1,0,4
11,va,-2,1,1,-2,-2,2,1,-2,0,11
97,lyrics,1,1,0,0,1,0,0,1,0,11
98,lyrics,2,1,1,2,-1,0,1,2,2,11
27,va,-1,-1,1,-1,1,1,-1,-1,-1,11
56,va,1,1,1,1,-1,0,0,1,0,11
39,lyrics,1,2,0,1,1,2,1,1,1,11
28,va,0,0,1,1,0,0,-1,0,0,11
15,va,0,-1,1,-1,0,1,-1,-1,0,11
23,va,1,1,-1,1,1,1,1,1,1,11
77,va,1,1,-1,1,0,2,1,1,0,11
10,va,0,0,0,0,1,0,0,0,0,11
68,popular,1,0,1,1,1,1,0,1,1,11
29,popular,1,0,1,1,0,0,0,1,1,11
12,popular,2,-2,0,1,-2,-2,0,1,0,7
60,va,1,1,0,1,0,0,0,0,0,11
38,popular,-1,1,1,-2,0,0,1,-1,0,11
86,va,0,2,-2,-1,-2,0,0,-2,-1,7
78,popular,1,0,0,1,0,0,0,1,0,11
35,va,2,-1,0,2,-2,-2,-1,2,-1,7
51,lyrics,-2,-1,-2,-2,0,-2,0,-2,-1,7
5,none,-2,-2,0,-2,1,1,0,-1,0,10
43,va,1,-1,1,1,-1,1,0,1,-1,10
9,none,1,1,-1,-1,0,1,1,-1,0,10
5,lyrics,0,1,0,-2,2,2,1,-1,1,9
68,va,2,2,1,2,-1,1,0,1,0,10
80,va,1,-1,1,1,-1,-1,-1,2,0,9
60,lyrics,1,1,1,0,-2,-1,0,0,0,10
86,va,-1,1,-1,-1,0,0,0,0,-1,9
2,lyrics,1,0,1,1,-1,-1,0,1,2,9
55,popular,1,1,0,1,1,1,0,1,1,9
62,lyrics,2,1,0,2,0,-1,1,2,2,9
69,lyrics,1,1,1,1,1,1,1,1,1,11
43,none,1,1,1,1,0,0,-1,1,0,9
34,va,1,1,1,1,0,1,1,1,1,11
54,popular,2,-1,-2,2,-2,-1,-1,2,0,7
48,lyrics,1,0,1,1,-1,-1,-1,0,0,9
9,va,1,2,0,1,0,1,2,1,1,11
92,va,1,1,0,1,1,0,1,1,1,9
21,va,2,1,1,1,1,1,0,1,0,9
25,popular,0,-1,1,-1,0,0,-1,-1,-1,11
99,popular,1,1,-2,1,-2,-2,0,1,0,7
89,popular,1,0,1,-1,-1,1,1,0,1,9
92,va,2,0,-2,1,0,1,0,1,0,7
53,popular,1,1,-1,0,0,0,1,0,0,11
25,popular,-2,-1,0,-1,1,1,1,0,-1,9
72,lyrics,1,1,1,1,-1,1,1,1,1,11
75,va,2,0,0,2,1,0,1,1,1,9
15,va,0,1,0,0,-2,-2,0,0,0,7
22,lyrics,1,0,1,2,-1,0,-1,2,1,11
49,popular,2,2,-2,2,-2,-2,2,1,2,7
65,none,-1,1,-2,-2,-2,1,1,-2,0,7
49,popular,1,1,-1,1,0,0,1,1,0,11
17,lyrics,2,0,1,2,-1,-1,-1,1,1,9
56,va,1,-1,1,1,0,-1,-1,-1,0,9
74,va,-2,-1,0,-2,2,0,-1,-2,-1,11
6,popular,1,-1,1,1,-2,-2,-1,1,0,7
54,popular,-1,-1,2,0,-2,-1,-2,1,-1,9
6,popular,1,-1,1,1,-1,-2,-1,1,0,11
45,popular,1,0,2,2,-2,0,-1,2,-1,7
97,lyrics,2,1,-1,1,1,2,1,1,2,9
5,lyrics,-1,-1,0,-2,2,1,0,-1,-1,11
46,popular,0,2,0,0,0,2,1,0,2,9
40,lyrics,2,1,1,2,0,-2,0,2,-2,10
86,va,0,0,1,-1,-1,1,-1,-1,0,11
37,lyrics,1,1,-2,1,2,1,0,1,0,9
47,lyrics,0,2,-2,-2,-2,1,1,0,0,7
22,popular,2,-1,1,2,-2,-2,-1,2,-2,10
73,popular,2,2,0,2,0,0,2,2,2,9
50,va,1,1,0,1,1,1,1,1,1,11
76,va,2,1,-1,1,-1,-1,-1,1,-1,9
24,va,0,0,0,-2,2,0,0,0,-2,9
98,lyrics,2,1,1,1,-1,1,1,1,2,9
18,lyrics,1,1,0,1,-1,1,0,1,1,9
38,popular,-1,-1,0,-2,-1,0,0,0,1,9
31,lyrics,0,1,0,-1,-1,1,0,0,1,9
85,lyrics,2,0,1,2,0,0,1,2,2,9
56,va,1,0,2,2,-2,-2,-1,2,-1,7
4,lyrics,0,1,1,1,-1,1,0,1,0,9
